measure,point,lower_95,upper_95,valid_replicates
precision,0.9912280701754386,0.9808589436878911,0.9984326632031829,2000
recall,0.6615925058548009,0.5726680214359462,0.7450796250393451,2000
false_positive_rate,0.0012419274714356682,0.00023837760237061008,0.002700844882251915,2000
brier_score,0.03555400004495415,0.021822061173615473,0.05244520468084141,2000
window_cost_difference_cad,3343580.79,2249238.8095,4542780.57125,2000
annualized_cost_difference_cad,13420251.467554945,9027851.375493132,18233523.117022663,2000
