scenario,subset,rows,positives,alerts,true_positive,false_positive,false_negative,true_negative,precision,recall,false_discovery_rate,false_positive_rate
baseline,all,4880,854,570,565,5,289,4021,0.9912280701754386,0.6615925058548009,0.008771929824561403,0.0012419274714356682
baseline,gap_or_imputation_in_last_7_days,1374,297,159,157,2,140,1075,0.9874213836477987,0.5286195286195287,0.012578616352201259,0.0018570102135561746
without_explicit_gap_features,all,4880,854,572,567,5,287,4021,0.9912587412587412,0.6639344262295082,0.008741258741258742,0.0012419274714356682
without_explicit_gap_features,gap_or_imputation_in_last_7_days,1374,297,165,163,2,134,1075,0.9878787878787879,0.5488215488215489,0.012121212121212121,0.0018570102135561746
alternating_recorded_repairs_removed,all,4880,854,591,577,14,277,4012,0.9763113367174281,0.6756440281030445,0.023688663282571912,0.003477396920019871
no_history_for_every_fourth_asset,all,4880,854,592,585,7,269,4019,0.9881756756756757,0.6850117096018735,0.011824324324324325,0.0017386984600099354
cold_start_controlled_fixture,all,180,150,0,0,0,150,30,,0.0,,0.0
cold_start_controlled_fixture,gradual,90,75,0,0,0,75,15,,0.0,,0.0
cold_start_controlled_fixture,abrupt,90,75,0,0,0,75,15,,0.0,,0.0
