scenario,subset,rows,positives,alerts,true_positive,false_positive,false_negative,true_negative,precision,recall,false_discovery_rate,false_positive_rate,alert_decisions_changed
baseline,all_labeled_test,4880,854,570,565,5,289,4021,0.9912280701754386,0.6615925058548009,0.008771929824561403,0.0012419274714356682,0
baseline,affected_assets_during_fault,620,116,84,84,0,32,504,1.0,0.7241379310344828,0.0,0.0,0
gradual_vibration_bias,all_labeled_test,4880,854,611,574,37,280,3989,0.939443535188216,0.6721311475409836,0.060556464811783964,0.009190263288623945,45
gradual_vibration_bias,affected_assets_during_fault,620,116,126,95,31,21,473,0.753968253968254,0.8189655172413793,0.24603174603174602,0.061507936507936505,42
abrupt_vibration_stuck_zero,all_labeled_test,4880,854,501,496,5,358,4021,0.9900199600798403,0.5807962529274004,0.00998003992015968,0.0012419274714356682,69
abrupt_vibration_stuck_zero,affected_assets_during_fault,620,116,22,22,0,94,504,1.0,0.1896551724137931,0.0,0.0,62
abrupt_vibration_dropout,all_labeled_test,4880,854,542,537,5,317,4021,0.9907749077490775,0.6288056206088993,0.00922509225092251,0.0012419274714356682,28
abrupt_vibration_dropout,affected_assets_during_fault,620,116,58,58,0,58,504,1.0,0.5,0.0,0.0,26
