policy,event_count,caught_failures,missed_failures,service_visits,carry_in_visits,unnecessary_services,unsuccessful_services,planned_downtime_hours,unplanned_downtime_hours,total_downtime_hours,emergency_repair_cost_cad,planned_service_cost_cad,downtime_cost_cad,total_cost_cad,mean_warning_days,median_warning_days,evaluation_years,asset_years,annualized_cost_cad
reactive,44,0,44,0,0,0,0,0,3877.0,3877.0,1492973.09,0,4012895.0,5505868.09,0.0,0.0,0.24914442162902123,19.9315537303217,22099102.41618132
fixed_90_day,44,13,31,81,25,68,1,486,2607.1,3093.1,1055013.55,216000,3256220.0,4527233.55,10.923076923076923,10.0,0.24914442162902123,19.9315537303217,18171121.47403846
predictive,44,37,7,51,0,10,4,302,469.0,771.0,264212.76,134400,785040.0,1183652.76,20.10810810810811,19.0,0.24914442162902123,19.9315537303217,4750870.006483517
